duration,credit_amount,installment_commitment,residence_since,age
48,8487,1,2,24
36,6887,4,3,29
15,2708,2,3,27
18,1984,4,4,47
60,10144,2,4,21
12,1240,4,2,38
27,8613,2,2,27
12,766,4,3,66
15,2728,4,2,35
12,1881,2,2,44
6,709,2,2,27
36,4795,4,1,30
27,3416,3,2,27
18,2462,2,2,22
21,2288,4,4,23
48,3566,4,2,30
6,860,1,4,39
12,682,4,3,51
36,5371,3,2,28
18,1582,4,4,46
6,1346,2,4,42
10,1924,1,4,38
36,5848,4,1,24
24,7758,2,4,29
24,6967,4,4,36
12,1282,2,4,20
9,1288,3,4,48
12,339,4,1,45
24,3512,2,3,38
6,1898,1,2,34
24,2872,3,4,36
18,1055,4,1,30
15,1262,4,3,36
10,7308,2,4,70
36,909,4,4,36
6,2978,1,2,32
18,1131,4,2,33
11,1577,4,1,20
24,3972,2,4,25
24,1935,4,4,31
15,950,4,3,33
12,763,4,1,26
24,2064,3,2,34
8,1414,4,2,33
21,3414,2,1,26
30,7485,4,1,53
12,2577,2,1,42
6,338,4,4,52
12,1963,4,2,31
21,571,4,4,65
36,9572,1,1,28
36,4455,2,2,30
21,1647,4,2,40
24,3777,4,4,50
18,884,4,4,36
15,1360,4,2,31
9,5129,2,4,74
16,1175,2,3,68
12,674,4,1,20
18,3244,1,4,33
24,4591,2,3,54
48,3844,4,4,34
27,3915,4,2,36
6,2108,2,2,29
45,3031,4,4,21
9,1501,2,3,34
6,1382,1,1,28
12,951,4,4,27
24,2760,4,4,36
18,4297,4,3,40
9,936,4,2,52
12,1168,4,3,27
27,5117,3,4,26
12,902,4,4,21
12,1495,4,1,38
30,10623,3,4,38
12,1935,4,4,43
12,1424,4,3,26
24,6568,2,2,21
12,1413,3,2,55
9,3074,1,2,33
36,3835,2,4,45
27,5293,2,4,50
30,1908,4,4,66
36,3342,4,2,51
6,932,1,3,39
18,3104,3,1,31
36,3913,2,2,23
24,3021,2,2,24
10,1364,2,4,64
12,625,4,1,26
12,1200,4,4,23
12,707,4,2,30
24,2978,4,4,32
15,4657,3,2,30
36,2613,4,2,27
48,10961,1,2,27
12,7865,4,4,53
9,1478,4,2,22
24,3149,4,1,22
36,4210,4,2,26
9,2507,2,4,51
12,2141,3,1,35
18,866,4,2,25
4,1544,2,1,42
24,1823,4,2,30
6,14555,1,2,23
21,2767,4,2,61
12,1291,4,2,35
30,2522,1,3,39
24,915,4,2,29
6,1595,3,2,51
48,4605,3,4,24
12,1185,3,2,27
12,3447,4,3,35
24,1258,4,1,25
12,717,4,4,52
6,1204,4,1,35
24,1925,2,2,26
18,433,3,4,22
6,666,3,4,39
12,2251,1,2,46
30,2150,4,2,24
24,4151,2,3,35
9,2030,2,1,24
60,7418,1,1,27
24,2684,4,2,35
12,2149,4,1,29
15,3812,1,4,23
11,1154,4,4,57
12,1657,2,2,27
24,1603,4,4,55
18,5302,2,4,36
12,2748,2,4,57
10,1231,3,4,32
15,802,4,3,37
36,6304,4,4,36
24,1533,4,3,38
14,8978,1,4,45
24,999,4,2,25
18,2662,4,3,32
12,1402,3,4,37
48,12169,4,4,36
48,3060,4,4,28
30,11998,1,1,34
9,2697,1,2,32
18,2404,2,2,26
12,1262,2,4,49
6,4611,1,4,32
24,1901,4,4,29
15,3368,3,4,23
12,1574,4,2,50
18,1445,4,4,49
15,1520,4,4,63
24,3878,4,2,37
47,10722,1,1,35
48,4788,4,3,26
48,7582,2,4,31
12,1092,4,4,49
24,1024,4,4,48
12,1076,2,2,26
36,9398,1,4,28
24,6419,2,4,44
42,4796,4,4,56
48,7629,4,2,46
48,9960,1,2,26
12,4675,1,4,20
10,1287,4,2,45
18,2515,3,4,43
21,2745,3,2,32
6,672,1,4,54
36,3804,4,1,42
24,1344,4,2,37
10,1038,4,3,49
48,10127,2,2,44
6,1543,4,2,33
30,4811,2,4,24
12,727,4,3,33
8,1237,3,4,24
9,276,4,4,22
48,5381,3,4,40
24,5511,4,1,25
24,3749,2,4,26
12,685,2,3,25
4,1494,1,2,29
36,2746,4,4,31
12,708,2,3,38
24,4351,1,4,48
12,701,4,2,32
15,3643,1,4,27
30,4249,4,2,28
24,1938,4,3,32
24,2910,2,1,34
18,2659,4,2,28
18,1028,4,3,36
8,3398,1,4,39
12,5801,2,4,49
24,1525,4,3,34
36,4473,4,2,31
6,1068,4,4,28
24,6615,2,4,75
18,1864,4,2,30
60,7408,4,2,24
48,11590,2,4,24
24,4110,3,4,23
6,3384,1,4,44
13,2101,2,4,23
15,1275,4,2,24
24,4169,4,4,28
10,1521,4,2,31
24,5743,2,4,24
21,3599,1,4,26
18,3213,1,3,25
18,4439,1,1,33
10,3949,1,1,37
15,1459,4,2,43
13,882,4,4,23
24,3758,1,4,23
6,1743,1,2,34
9,1136,4,3,32
9,1236,1,4,23
9,959,1,2,29
18,3229,2,4,38
12,6199,4,2,28
10,727,4,4,46
24,1246,4,2,23
12,2331,1,4,49
36,4463,4,2,26
12,776,4,2,28
30,2406,4,4,23
18,1239,4,4,61
12,3399,2,3,37
12,2247,2,2,36
6,1766,1,2,21
18,2473,4,1,25
12,1542,2,4,36
18,3850,3,1,27
18,3650,1,4,22
36,3446,4,2,42
18,3001,2,4,40
36,3079,4,4,36
18,6070,3,4,33
10,2146,1,3,23
60,13756,2,4,63
60,14782,3,4,60
48,7685,2,4,37
18,2320,2,3,34
7,846,3,4,36
36,14318,4,2,57
6,362,4,4,52
20,2212,4,4,39
18,12976,3,4,38
22,1283,4,4,25
12,1330,4,1,26
30,4272,2,2,26
18,2238,2,1,25
18,1126,4,2,21
18,7374,4,4,40
15,2326,2,4,27
9,1449,3,2,27
18,1820,2,2,30
12,983,1,4,19
36,3249,2,4,39
6,1957,1,4,31
9,2406,2,3,31
39,11760,2,3,32
12,2578,3,4,55
36,2348,3,2,46
12,1223,1,1,46
24,1516,4,1,43
18,1473,3,4,39
18,1887,4,4,28
24,8648,2,2,27
14,802,4,2,27
18,2899,4,4,43
24,2039,1,1,22
24,2197,4,4,43
15,1053,4,2,27
24,3235,3,2,26
12,939,4,2,28
24,1967,4,4,20
33,7253,3,2,35
12,2292,4,2,42
10,1597,3,2,40
24,1381,4,2,35
36,5842,2,2,35
12,2579,4,1,33
18,8471,1,2,23
21,2782,1,2,31
18,1042,4,2,33
15,3186,2,3,20
12,2028,4,2,30
12,958,2,3,47
21,1591,4,3,34
12,2762,1,2,25
18,2779,1,3,21
28,2743,4,2,29
18,1149,4,3,46
9,1313,1,4,20
18,1190,2,4,55
5,3448,1,4,74
24,11328,2,3,29
6,1872,4,4,36
24,2058,4,2,33
9,2136,3,2,25
12,1484,2,1,25
6,660,2,4,23
24,1287,4,4,37
42,3394,4,4,65
12,609,4,1,26
12,1884,4,4,39
12,1620,2,3,30
20,2629,2,3,29
12,719,4,4,41
48,5096,2,3,30
9,1244,4,4,41
36,1842,4,4,34
7,2576,2,2,35
12,1424,3,4,55
15,1512,3,3,61
36,11054,4,2,30
6,518,3,1,29
12,2759,2,4,34
24,2670,4,4,35
24,4817,2,3,31
24,2679,4,1,29
11,3905,2,2,36
12,3386,3,4,35
6,343,4,1,27
18,4594,3,2,32
36,3620,1,2,37
15,1721,2,3,36
12,3017,3,1,34
12,754,4,4,38
18,1950,4,1,34
24,2924,3,4,63
24,1659,4,2,29
48,7238,3,3,32
33,2764,2,2,26
24,4679,3,3,35
24,3092,3,2,22
6,448,4,4,23
9,654,4,3,28
6,1238,4,4,36
18,1245,4,2,33
18,3114,1,4,26
39,2569,4,4,24
24,5152,4,2,25
12,1037,3,4,39
15,1478,4,4,44
12,3573,1,1,23
24,1201,4,1,26
30,3622,4,4,57
15,960,3,2,30
12,1163,4,4,44
6,1209,4,4,47
12,3077,2,4,52
24,3757,4,4,62
10,1418,3,2,35
6,3518,2,3,26
12,1934,2,2,26
27,8318,2,4,42
6,1237,1,1,27
6,368,4,4,38
12,2122,3,2,39
24,2996,2,4,20
36,9034,4,1,29
24,1585,4,3,40
18,1301,4,2,32
6,1323,2,4,28
